nama_produk,kategori,username,rating,ulasan,tanggal
Infinix Smart 20 4/256GB,handphone,yudha,5,mantap pengriman cepat..barang ORI..harga pas..thanks Infinix..,4 hari lalu
Infinix Smart 20 4/256GB,handphone,Teger,5,good,6 hari lalu
Infinix Smart 20 4/256GB,handphone,Hendri,5,puas. original. cepat sampe,2 minggu lalu
Infinix Smart 20 4/256GB,handphone,Baby,5,"Barang baru, original dan garansi resmi.",Hari ini
OPPO A6t,handphone,Tono,5,"Alhamdulillah barang sampai tujuan,kualitas asli original OPO,respon seler sangat jempol,pacing aman,hari libur ttp di kirim,kurir nya juga SDH langganan Aman,SMOGA laris...",1 minggu lalu
OPPO A6t,handphone,j***a,5,"Packaging aman, barang sesuai deskripsi. Baterai awet dan charging juga cepat. Kamera jernih, performanya stabil buat harian.",3 bulan lalu
OPPO A6t,handphone,king,5,terbaikkk pengiriman cepat respon cepat juga ori asli,2 bulan lalu
OPPO A6t,handphone,A***n,5,"Barang masih tersegel, paking bagus, barang cepat sampe, mantap lah",1 bulan lalu
OPPO A6t,handphone,firman,5,semoga awet,1 bulan lalu
OPPO A6t,handphone,Kimi,5,"barang datang sesuai estimasi, packaging aman dan segel utuh. baterai tahan lama, dipakai dari pagi sampai malam nggak perlu sering ngecas. kamera hasilnya bagus buat fot...",3 bulan lalu
OPPO A6t,handphone,Dzakey,5,Dapat gift juga 👍😄 Bismillah cuan,2 bulan lalu
OPPO A6t,handphone,A***y,5,"Barang sampai dlm kondisi yg aman, pake buble wrap tebal + kardus. pengiriman standar. Hp sudah dicek semua aman, hasil kamera doang yang kurang buat low light (noise nya...",3 minggu lalu
OPPO A6t,handphone,Mahbub,5,mantaafff barang bagus pengemasan baik masih segel dan ori oppo.. trimakasih,2 bulan lalu
OPPO A6t,handphone,LiA,5,Keren... pelayanan oke barang ori. sempat ga kekirim bonusnya.. tapi dikirim menyusul gak boong... puas banget beli disini,1 bulan lalu
OPPO A6t,handphone,J***o,5,pengiriman cepat barang terima dengan aman dan nyaman dipakai,2 bulan lalu
OPPO A6t,handphone,Yunita,5,"pengiriman cepat, packing aman, garansi resmi, barang original, kemasan disegel Ori No Repack, makasih",3 minggu lalu
OPPO A6t,handphone,H***o,5,respon cepat proses cepat barang mantap sesuai dengan pesanan terima kasih seller rekomendasi,1 minggu lalu
OPPO A6t,handphone,Heru,5,terima kasih barangnya sampai dengan selamat dan unitnya berfungsi dengan baik,1 bulan lalu
OPPO A6t,handphone,A***D,5,"luar biasa hamdulilah sudah sampe dapat bonus jg, dapat harga 1,244.000 makasih oppo",2 bulan lalu
OPPO A6t,handphone,M***h,5,barang baru datang dengan aman terkendali.... bagus dan memuaskan sekali trimakasih buat OPO,4 minggu lalu
OPPO A6t,handphone,B***g,5,mantap barangnya sudah sampai sesuai dengan pesanan,3 minggu lalu
OPPO A6t,handphone,Ira,5,"barang sdh dtng sesuai pesanan packing rapi aman pengiriman cepat respon seller pun cepat,,,",3 minggu lalu
OPPO A6t,handphone,A***a,5,"maaf baru kasih ulasan, barangnya sudah sampai, dan terimakasih min bonusnya🙏",3 bulan lalu
OPPO A6t,handphone,Bejo,5,terima kasih.. pesanan sudah diterima. semoga awet,1 bulan lalu
OPPO A6t,handphone,fitriyah,5,cpt bngt smpenya smuanya aman trimakasih.....,1 bulan lalu
OPPO A6t,handphone,Helen,5,"sangat bagus,, dapat bonus parfum lg. .. tq",3 minggu lalu
OPPO A6t,handphone,A***a,5,mendarat dgn selamat. terimakasih 🙏🏻,3 hari lalu
OPPO A6t,handphone,Lip,5,"Barang baru, original dan garansi resmi.",1 minggu lalu
OPPO A6t,handphone,Vape,5,Mantap sesuai pesanan,2 bulan lalu
OPPO A6t,handphone,LiA,5,Mantap Original Plus mantap bonusnya,2 bulan lalu
OPPO A6t,handphone,SUHERMAN,5,Belum perna mengecewakan...,2 bulan lalu
OPPO A6t,handphone,SUHERMAN,5,Sampai dengan selamat...,2 bulan lalu
OPPO A6t,handphone,shane,5,"ok thx u,next order lagi",3 minggu lalu
OPPO A6t,handphone,Nandar,4,barang segel cuma agak penyok tapi nda masalah makasih yah,4 hari lalu
OPPO A6t,handphone,l***n,4,Tidak dapat parfum,3 minggu lalu
OPPO A6t,handphone,H***m,4,ok,3 minggu lalu
OPPO A6t,handphone,Widianto,3,Barang sampai dgn kondisi kardus penyok². Kurir dari pengiriman pusat tolong di tegur utk hati2 saat bawa barang kak. Terima Kasih.,2 minggu lalu
OPPO A6t,handphone,U***5,1,promo gift tapi dikirim tidak ada giftt payahh gak sesuaii.pengiriman lama,2 minggu lalu
Infinix Hot 30i 8/128GB,handphone,Michael,5,"seller fast respon, pengiriman cepat, barang sesuai deskripsi, thanks",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Suwanto,5,Rekomended seller. Pengiriman cepat. Packing rapi. Barang sesuai dengan deskripsi.,Lebih dari 1 tahun lalu
